airport_code,city_code,airport_name_en,airport_name_ar,airport_name_hi,address,phone,email,website
AAA,AAA,Anaa Airport,"","",,,
AAB,"","","","","","",""
AAE,AAE,Annaba Airport,"","",,,
AAL,AAL,Aalborg Airport,"","",طريق المطار الجديد 100، 9400 نورسنبي، الدنمارك,(+45) 98 17 11 44,info@aal.dk
AAN,AAN,Al Ain International Airport,"","",,,
AAQ,AAQ,Anapa Airport,"","",,,
AAR,AAR,Aarhus Airport,"","",نيويورك لوفتافنسفينج 24، 8560 كوليند، الدنمارك,(+45) 87 75 70 00,NA
AAT,DOY,Altay Air Base,"","",,,
AAX,"","","","","","",""
ABA,ABA,Abakan Airport,"","",,,
ABB,AKR,Asaba International Airport,"","",,,
ABD,ABD,Abadan Airport,"","",,,
ABE,ABE,Lehigh Valley International Airport,"","",هيئة مطار ليهاي - نورثامبتون طريق مطار الينتاون 3311، بنسلفانيا 18109-3040,(+1) 800-359-5842,ceverett@lnaa.com
ABI,ABI,Abilene Regional Airport,"","",2933 جادة المطار، جناح 200 أبيلين، تكساس 79602,(+1) 325-676-6367,alex.cargile@abilenetx.com
ABJ,ABJ,Port Bouet Airport,"","",إيريا، كوت ديفوار، 07 بي.بي 30 ابيدجان 07,(+225) 21757903,NA
ABL,FAI,Ambler Airport,"","",,,
ABM,"","","","","","",""
ABQ,ABQ,Albuquerque International Sunport Airport,"","",مدير المدينة ديبرا يوشيمورا ، بناء كاونتي - الطابق الخامس,(+1) 505-244-7700,DYoshimura@cabq.gov
ABR,ABR,Aberdeen Regional Airport,"","",مدير النقل مايكل ويلسون 123 جنوب شارع لينكولن أبردين، داكوتا الجنوبية 57401,(+1) 605-626-7020,NA
ABS,ABS,Abu Simbel Airport,"","",,,
ABT,ABT,Al Baha Airport,"","",,,
ABU,"","","","","","",""
ABV,ABV,Nnamdi Azikiwe International Airport,"","",,,
ABX,ABX,Albury Airport,"","",,,
ABY,ABY,Southwest Georgia Regional Airport,"","",3905 طريق نيوتن #100، ألباني، جورجيا 31701، الولايات المتحدة الأمريكية,(+1) 229-430-5175,NA
ABZ,ABZ,Aberdeen Airport,"","",دايس، أبردين باسكتلندا AB21 7DU، المملكة المتحدة,(+44) 844 481 6666,NA
ACA,ACA,General Juan N Lvarez International Airport,"","",جادة الأمم س / ن، خطة دي لوس أماتيس، 39931 أكابولكو دي خواريز، غيريرو، المكسيك,(+52) 744 435 2060,acapulco@oma.aero
ACC,ACC,Kotoka International Airport,"","",شركة غانا إيربورتس المحدودة KA PMB 36، كييا، أكرا، غانا، غرب أفريقيا,(+233) 302 776171,info@gacl.com.gh
ACE,ACE,Lanzarote Airport,"","",أرسيفي سيوداد، س/ن، 35500 أرافيس، لاس باميس، إسبانيا,(+34) 902 40 47 04,"webpublica@aena.es,portalempleo@aena.es,seleccion@aena.es"
ACH,ACH,St Gallen Altenrhein Airport,"","",,,
ACI,ACI,Alderney Airport,"","",,,
ACK,ACK,Nantucket Memorial Airport,"","",14 نانتوكيت طريق المطار، ماساتشوستس 02554، الولايات المتحدة الأمريكية,( +1) 508-325-5300,ackinfo@nantucketairport.com
ACT,ACT,Waco Regional Airport,"","",7909 كارل ماي دي.ار.، واكو، تكساس 76708، الولايات المتحدة الأمريكية,(+1) 254-750-8475,NA
ACU,"","","","","","",""
ACV,ACV,Arcata-eureka Airport,"","",3561 جادة بوينغ، ميكينليفيل، كاليفورنيا 95519، الولايات المتحدة الأمريكية,(+1) 707-839-5401,NA
ACX,YBP,Xingyi Airport,"","",,,
ACY,AIY,Atlantic City International Airport,"","",مطار أتلانتك سيتي إنترناشونال 101 مطار أتلانتك سيتي إنترناشونال جناح 106 مقاطعة ايغ هاربور، نيوجرسي 08234,(+1) 888-235-9229,NA
ADA,ADA,Adana Airport,"","",,,
ADB,IZM,Adnan Menderes Airport,"","",دوكوز إيلال إم إتش، 35425 غزامير، ازمير، تركيا,(+90) 232 274 2626,info.izmir@tav.aero
ADD,ADD,Addis Ababa Bole International Airport,"","",أديس أبابا، إثيوبيا ,(+251) 11 551 7000,NA
ADE,ADE,Aden International Airport,"","",عدن، اليمن ,(+252) 80-839 (+252) 80-531,NA
ADF,"","","","","","",""
ADH,"","","","","","",""
ADK,ADK,Adak Airport,"","",,,
ADL,ADL,Adelaide Airport,"","",1 طريق جيمس سكوفيلد ، مطار أديلايد، ساوث أستراليا 5950، أستراليا.,(+61) 8 8308 9211,airport@aal.com.au
ADQ,ADQ,Kodiak Airport,"","",1427 إيربورت واي، كودياك، ألاسكا 99615، الولايات المتحدة الأمريكية,(+1) 907-487-4363,NA
ADU,ADU,Ardabil Airport,"","",,,
ADZ,ADZ,Gustavo Rojas Pinilla International Airport,"","",,,
AEB,JGS,Baise Youjiang Airport,"","",,,
AEP,BUE,Aeroparque Jorge Newbery,"","",جادة رافاييا أوبليجادو إس / إن، 1425 بوينس آيرس، أوتونوموس سيتي في بوينس آيرس، الأرجنتين,(+5411) 5480-2500,NA
AER,AER,Sochi International Airport,"","",,,
AES,AES,Lesund Airport,"","",,,
AET,"","","","","","",""
AEX,AEX,Alexandria International Airport Louisiana,"","",نويز ميتيغيشن بروغرام أوفيس 1611 أرنولد درايف أليكسندريا، لوس أنجلوس 71303-5636,(+1) 318-449-3504,"dhixson@englandairpark.org, deborah_murphy@urscorp.com"
AEY,AEY,Akureyri Airport,"","",,,
AFA,AFA,Suboficial Ay Santiago Germano Airport,"","",,,
AFL,"","","","","","",""
AGA,AGA,Al Massira Airport,"","",,,
AGB,MUC,Augsburg Airport,"","",فلوغافينستراب 1، 86169 أوغسبورغ، ألمانيا,(+49) 821 2708111,NA
AGF,AGF,Agen-la Garenne Airport,"","",,,
AGH,AGH,Ngelholm-helsingborg Airport,"","",انغيلهولم إيربورت AB 262 91 انغيلهولم دليفري مارغريت توربس فيجن 445,(0431) 48 45 00,info@angelholmhelsingborgairport.se
AGM,JEG,Tasiilaq Heliport,"","",,,
AGN,"","","","","","",""
AGP,AGP,Mlaga Airport,"","",شارع القائد غارسيا موراتو، إس / إن، 29004 مالقة، إسبانيا,(+34) 952 04 84 84,infoagp@e-externas.aena.es
AGR,AGR,Agra Airport,"","",طريق المطار، خيريا، أكرا، أوتار براديش، 282008,"91-562-2400844, 08477021021 (M), 91-562-2580422 (R)",apd_agra@aai.aero
AGS,AGS,Augusta Regional Airport,"","",1501 إيفييشن واي، أوغستا، جورجيا 30906، الولايات المتحدة الأمريكية,(+1) 706-798-3236,NA
AGT,AGT,Guarani International Airport,"","",,,
AGU,AGU,Lic Jess Tern Peredo International Airport,"","",كاريتييرا باناميريكانا كم. 22، إيخيدو بوينا فيستا دي بينيولاس، 20340 أغواسكاليينتس، المكسيك,(+52) 449 918 2806,NA
AGX,AGX,Agatti Airport,"","",طريق المطار، آغاتي، لاكشادويب، 682553,91-4894-242615,apc-agatti@aai.aero
AHB,AHB,Abha Regional Airport,"","",,,
AHE,MVT,Ahe Airport,"","",,,
AHJ,"","","","","","",""
AHO,AHO,Alghero - Fertilia Airport,"","",,,
AHU,AHU,Cherif Al Idrissi Airport,"","",,,
AIA,AIA,Alliance Municipal Airport,"","",5631 طريق ساربي، ألّاينز، نبراسكا 69301 مينيجيرز أوفيس أوبين M-F 9-3,(+1) 308-762-4512,lplacek@cityofalliance.net
AIN,"","","","","","",""
AIT,AIT,Aitutaki Airport,"","",,,
AIU,AIU,Enua Airport,"","",,,
AJA,AJA,Ajaccio-napolcon Bonaparte Airport,"","",,,
AJF,AJF,Al-jawf Domestic Airport,"","",,,
AJI,"","","","","","",""
AJL,AJL,Lengpui Airport,"","",مجموعة الصيانة الجوية، - لينغبوي، هيئة المطارات الهندية، لينغبوي، أيزوال- 796410، ميزورام، الهند,91-389-2573233,N/A
AJN,AJN,Ouani Airport,"","",,,
AJR,AJR,Arvidsjaur Airport,"","",,,
